Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
OC OERLIKON N,OERL.SW,OERL.SW,Industrials,CHF,4.104,0.35,0.0853,2004-06-04,2023-03-23,0.35,5.03
ORIOR N,ORON.SW,ORON.SW,Consumer Defensive,CHF,72.0,2.5,0.0347,2011-04-08,2023-04-21,2.5,82.0
PARTNERS GROUP N,PGHN.SW,PGHN.SW,Financial Services,CHF,916.8,37.0,0.0404,2007-05-03,2023-05-26,37.0,803.8
PERROT DUVAL I,PEDU.SW,PEDU.SW,Industrials,CHF,82.5,2.0,0.0242,2000-10-31,2022-10-03,2.0,88.0
PHILIP MRRS INT-WI,PMI.SW,PMI.SW,Consumer Defensive,CHF,88.0,4.5,0.0511,2008-06-26,2023-06-22,2.54,83.73
PEPSICO,PEP.SW,PEP.SW,Consumer Defensive,CHF,156.0,4.35,0.0279,1998-09-09,2023-06-01,2.415,169.735
PLAZZA N,PLAN.SW,PLAN.SW,Real Estate,CHF,310.0,7.0,0.0226,2016-05-27,2023-04-11,7.0,309.0
PRIVATE EQUITY N,PEHN.SW,PEHN.SW,Financial Services,CHF,67.8,1.0,0.0152,2011-09-12,2023-06-08,1.0,69.0
PSP N,PSPN.SW,PSPN.SW,Real Estate,CHF,106.1,3.8,0.0358,2002-04-09,2023-04-11,3.8,103.6
RICHEMONT N,CFR.SW,CFR.SW,Consumer Cyclical,CHF,123.0,2.5,0.020299999,2007-09-17,2022-09-21,1.0,100.8
RIETER N,RIEN.SW,RIEN.SW,Industrials,CHF,92.5,1.5,0.0162,1996-05-31,2023-04-24,3.0,97.4
ROCHE I,RO.SW,RO.SW,Healthcare,CHF,274.8,9.5,0.0346,1996-06-05,2023-03-16,9.5,271.9
SCHAFFNER N,SAHN.SW,SAHN.SW,Industrials,CHF,494.0,9.0,0.0184,1999-01-15,2023-01-12,9.0,291.0
SCHINDLER N,SCHN.SW,SCHN.SW,Industrials,CHF,183.0,4.0,0.0219,2002-06-14,2023-03-30,4.0,186.4
SCHLATTER N,STRN.SW,STRN.SW,Industrials,CHF,25.4,0.5,0.0197,1997-07-02,2023-05-08,0.5,24.1
SCHWEITER I,SWTQ.SW,SWTQ.SW,Industrials,CHF,590.0,20.0,0.033099998,1996-06-03,2023-04-06,20.0,657.0
SFS GROUP N,SFSN.SW,SFSN.SW,Industrials,CHF,98.5,2.5,0.0254,2015-05-11,2023-04-28,1.25,116.75
SGS N,SGSN.SW,SGSN.SW,Industrials,CHF,79.98,3.2,0.04,1995-06-14,2023-04-12,3.2,82.52
SIG Combibloc Grp N,SIGN.SW,SIGN.SW,Consumer Cyclical,CHF,22.34,0.47,0.0212,2019-04-15,2023-04-25,0.94,24.13
SOFTWAREONE N,SWON.SW,SWON.SW,Technology,CHF,18.03,0.35,0.019,2020-05-19,2023-05-08,0.35,12.71
