Company,Ticker
BRITISH AMERICAN TOBACCO PLC ORD 25P,BATS.L
STARWOOD EUROPEAN REAL EST FIN LD ORD NPV,SWEF.L
LOWLAND INV CO PLC ORD 2.5P,LWI.L
ENERGEAN PLC ORD 1P,ENOG.L
NEXT PLC ORD 10P,NXT.L
HALEON PLC ORD GBP0.01,HLN.L
ASOS PLC ORD 3.5P,ASC.L
FIDELITY EUROPEAN TRUST PLC ORD 2.5P,FEV.L
UNILEVER PLC ORD 3 1/9P,ULVR.L
S & U PLC ORD 12 1/2P,SUS.L
WEIR GROUP PLC ORD 12.5P,WEIR.L
MONKS INV TST PLC ORD 5P,MNKS.L
BP PLC $0.25,BP..L
MOLTEN VENTURES PLC ORD GBP0.01,GROW.L
4IMPRINT GROUP PLC ORD 38 6/13P,FOUR.L
BUNZL PLC ORD 32 1/7P,BNZL.L
JPMORGAN GLOBAL EMERG. MKTS. IT PLC ORD 1P,JEMI.L
ABRDN NEW DAWN INVESTMENT TRUST PLC ORD 5P,ABD.L
REAL ESTATE CREDIT INV. LD ORD NPV,RECI.L
RICARDO PLC ORD 25P,RCDO.L
DUNEDIN INCOME GROWTH INV TST PLC ORD 25P,DIG.L
PAYPOINT PLC ORD 1/3P,PAY.L
TREATT PLC ORD 2P,TET.L
CT UK CAP AND INC INV TRUST PLC ORD 25P,CTUK.L
GCP ASSET BACKED INCOME FUND LTD ORD NPV,GABI.L
ABRDN CHINA INV CO LTD ORD 1P,ACIC.L
LONDONMETRIC PROPERTY PLC ORD 10P,LMP.L
THE EUROPEAN SMALLER CO'S TST PLC ORD 1.5625P,ESCT.L
BURBERRY GROUP PLC ORD 0.05P,BRBY.L
QINETIQ GROUP PLC ORD 1P,QQ..L
JPMORGAN CLAVERHOUSE IT PLC ORD 25P,JCH.L
POLAR CAPITAL GLOBAL HEALTH.TST PLC ORD 25P,PCGH.L
NCC GROUP PLC ORD 1P,NCC.L
AVI GLOBAL TRUST PLC ORD 2P,AGT.L
BBGI GLOBAL INFRASTRUCTURE S.A. ORD NPV (DI),BBGI.L
ASHTEAD GROUP PLC ORD 10P,AHT.L
CALEDONIA INVESTMENTS PLC ORD 5P,CLDN.L
ECOFIN GLBL UTIL & INF TST PLC ORD 1P,EGL.L
TATE & LYLE PLC ORD 29 1/6P,TATE.L
VPC SPECIALTY LENDING INVESTMENTS ORD GBP0.01,VSL.L
BLACKROCK SUST AMERICAN INC TST PLC ORD 1P,BRSA.L
TWENTYFOUR SELECT MONTHLY INCOME FD ORD 1P,SMIF.L
ESSENTRA PLC ORD 25P,ESNT.L
CITY OF LONDON INVESTMENT TRUST PLC ORD 25P,CTY.L
ABRDN ASIAN INCOME FUND LIMITED ORD NPV,AAIF.L
TP ICAP GROUP PLC ORD 25P,TCAP.L
KEYSTONE POSITIVE CHANGE IT PLC ORD 10P,KPC.L
GREENCORE GROUP PLC ORD 1P (CDI),GNC.L
JPMORGAN INDIAN INV TRUST PLC ORD 25P,JII.L
CAPITAL LD COMM SHS USD0.0001 (DI),CAPD.L
BRUNNER INV TST PLC ORD 25P,BUT.L
INFORMA PLC ORD 0.1P,INF.L
BYTES TECHNOLOGY GROUP PLC ORD GBP0.01,BYIT.L
SCHRODER ASIA PACIFIC FUND ORD 10P,SDP.L
DWF GROUP PLC ORD 1P,DWF.L
IMI PLC ORD 28 4/7P,IMI.L
JPMORGAN EMERGING MKTS INV TRST PLC ORD 2.5P,JMG.L
FIDELITY SPECIAL VALUES PLC ORD 5P,FSV.L
RUFFER INVESTMENT COMPANY LD RED PTG PREF SHS 0.01P,RICA.L
BEAZLEY PLC ORD 5P,BEZ.L
SPECTRIS PLC ORD 5P,SXS.L
PANTHEON INTERNATIONAL PLC ORD 6.7P,PIN.L
