Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
Saes Getters,IT0001029492,SG.MI,Technology,EUR,28.25,0.55,0.0195,1995-06-15,2023-05-08,0.55,27.999998092651367
Salcef Group,IT0005388266,SCF.MI,Industrials,EUR,24.3,0.5,0.0207,2020-05-18,2023-05-15,0.5,21.149999618530273
Sanlorenzo,IT0003549422,SL.MI,Consumer Cyclical,EUR,36.55,0.66,0.018,2021-04-26,2023-05-02,0.66,39.9900016784668
Salvatore Ferragamo,IT0004712375,SFER.MI,Consumer Cyclical,EUR,14.42,0.28,0.0194,2012-05-21,2023-05-22,0.28,14.859999656677246
Saras,IT0000433307,SRS.MI,Energy,EUR,1.218,0.19,0.15560001,2007-05-07,2023-05-22,0.19,1.0755000114440918
Sesa,IT0004729759,SES.MI,Technology,EUR,103.8,1.0,0.0095999995,2013-10-07,2022-09-19,0.9,115.79999542236328
Snam,IT0003153415,SRG.MI,Utilities,EUR,4.628,0.33,0.0715,2004-05-24,2023-06-19,0.2751,4.8809003829956055
Sol,IT0001206769,SOL.MI,Basic Materials,EUR,25.25,0.33,0.0128,1999-05-24,2023-05-22,0.33,26.920000076293945
Stellantis,NL00150001Q9,STLAM.MI,Consumer Cyclical,EUR,16.74,1.34,0.0802,2000-06-19,2023-04-24,1.34,14.604000091552734
Stmicroelectronics,NL0000226223,STMPA.PA,Technology,EUR,44.245,0.22,0.0050999997,2002-02-27,2023-06-26,0.12,42.57500076293945
Technogym,IT0005162406,TGYM.MI,Consumer Cyclical,EUR,7.83,0.25,0.031400003,2017-05-15,2023-05-22,0.25,8.420000076293945
Tamburi,IT0003153621,TIP.MI,Financial Services,EUR,8.61,0.13,0.0152,2006-05-29,2023-06-19,0.13,9.239999771118164
Tenaris,LU0156801721,TEN.MI,Energy,EUR,15.24,0.48,0.0315,2003-06-18,2023-05-22,0.34,11.994999885559082
Terna,IT0003242622,TRN.MI,Utilities,EUR,7.44,0.42,0.0561,2004-10-18,2023-06-19,0.2083,7.845699787139893
The Italian Sea Group,IT0005439085,TISG.MI,Consumer Cyclical,EUR,7.65,0.27,0.036,2023-05-02,2023-05-02,0.272,8.377999305725098
Tinexta,IT0005037210,TNXT.MI,Technology,EUR,17.61,0.51,0.0294,2015-06-15,2023-06-05,0.51,17.559999465942383
Txt E-Solutions,IT0001454435,TXT.MI,Technology,EUR,18.24,0.18,0.0098,2006-05-08,2023-05-22,0.18,19.059999465942383
Unicredit,IT0005239360,UCG.MI,Financial Services,EUR,21.565,0.99,0.0448,2000-05-22,2023-04-24,0.9872,18.540800094604492
Unieuro,IT0005239881,UNIR.MI,Consumer Cyclical,EUR,9.85,0.49,0.049099997,2017-09-25,2023-06-26,0.49,9.930000305175781
Unipol,IT0004810054,UNI.MI,Financial Services,EUR,5.008,0.37,0.071,1991-07-17,2023-05-22,0.37,4.789999485015869
Unipolsai,IT0004827447,US.MI,Financial Services,EUR,2.298,0.16,0.069699995,2000-05-22,2023-05-22,0.16,2.2820000648498535
Valsoia,IT0001018362,VLS.MI,Consumer Defensive,EUR,9.0,0.38,0.0422,2007-05-07,2023-05-08,0.38,9.279999732971191
Webuild,IT0003865570,WBD.MI,Industrials,EUR,1.657,0.06,0.033800002,2000-05-22,2023-05-22,0.057,1.9259999990463257
Wiit,IT0005440893,WIIT.MI,Technology,EUR,17.28,0.3,0.0174,2018-05-07,2023-05-08,0.3,19.850000381469727
Zignago Vetro,IT0004171440,ZV.MI,Consumer Cyclical,EUR,15.4,0.6,0.04,2008-05-19,2023-05-15,0.6,16.139999389648438
Zucchi,IT0005395071,ZUC.MI,Consumer Cyclical,EUR,2.34,0.47,0.2007,2000-05-22,2023-07-03,0.1184,2.411600112915039
