Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,dividendYieldAPI,longestYieldStrike,yearTimePeriod,yieldCounter,yieldRatio,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
Credem,IT0003121677,CE.MI,Financial Services,EUR,7.6,0.33,4.36,0.0436,10,24,22,91.66666666666666,1998-05-18,2023-05-15,0.33,6.820000171661377
Italmobiliare,IT0005253205,ITM.MI,Consumer Defensive,EUR,24.7,0.7,2.85,0.028499998,21,35,32,91.42857142857143,1987-10-16,2023-05-08,0.7,25.399999618530273
Banca Ifis,IT0003188064,IF.MI,Financial Services,EUR,16.1,2.35,14.49,0.1449,11,23,21,91.30434782608695,1999-05-10,2023-05-22,0.4,14.180000305175781
Acea,IT0001207098,ACE.MI,Utilities,EUR,10.48,0.85,8.26,0.082600005,11,22,20,90.9090909090909,2000-06-19,2023-06-19,0.85,13.080000877380371
Unipolsai,IT0004827447,US.MI,Financial Services,EUR,2.298,0.16,6.97,0.069699995,10,22,20,90.9090909090909,2000-05-22,2023-05-22,0.16,2.2820000648498535
El.En.,IT0005453250,ELN.MI,Healthcare,EUR,10.8,0.22,2.08,0.0208,9,21,19,90.47619047619048,2001-07-23,2023-05-29,0.22,10.859999656677246
Unipol,IT0004810054,UNI.MI,Financial Services,EUR,5.008,0.37,7.1,0.071,17,31,28,90.32258064516128,1991-07-17,2023-05-22,0.37,4.789999485015869
Sesa,IT0004729759,SES.MI,Technology,EUR,103.8,1.0,0.96,0.0095999995,6,9,8,88.88888888888889,2013-10-07,2022-09-19,0.9,115.79999542236328
Tamburi,IT0003153621,TIP.MI,Financial Services,EUR,8.61,0.13,1.52,0.0152,11,16,14,87.5,2006-05-29,2023-06-19,0.13,9.239999771118164
Cnh Industrial,NL0010545661,CNHI,Industrials,USD,13.06,0.4,3.07,0.0307,5,8,7,87.5,2014-04-22,2023-04-24,0.396,13.944000244140625
Bca Profilo,IT0001073045,PRO.MI,Financial Services,EUR,0.204,0.01,6.9,0.069,8,21,18,85.71428571428571,2001-05-21,2023-05-02,0.014,0.21700000762939453
Piquadro,IT0004240443,PQ.MI,Consumer Cyclical,EUR,2.16,0.1,4.78,0.0478,11,14,12,85.71428571428571,2008-07-28,2023-07-31,0.104115,2.0858850479125977
Tinexta,IT0005037210,TNXT.MI,Technology,EUR,17.61,0.51,2.94,0.0294,4,7,6,85.71428571428571,2015-06-15,2023-06-05,0.51,17.559999465942383
Fila,IT0004967292,FILA.MI,Industrials,EUR,8.47,0.12,1.44,0.014400001,4,7,6,85.71428571428571,2015-06-01,2023-05-22,0.12,7.380000114440918
Bper Banca,IT0000066123,BPE.MI,Financial Services,EUR,2.729,0.12,4.34,0.0434,10,20,17,85.0,2002-05-27,2023-05-22,0.24,2.580000162124634
Enervit,IT0004356751,ENV.MI,Consumer Defensive,EUR,3.12,0.13,4.17,0.0417,10,13,11,84.61538461538461,2009-06-01,2023-05-22,0.13,3.070000171661377
Salvatore Ferragamo,IT0004712375,SFER.MI,Consumer Cyclical,EUR,14.42,0.28,1.94,0.0194,7,10,8,80.0,2012-05-21,2023-05-22,0.28,14.859999656677246
Enav,IT0005176406,ENAV.MI,Industrials,EUR,3.674,0.2,5.38,0.0538,3,5,4,80.0,2017-05-22,2022-10-24,0.1081,3.573899984359741
Unieuro,IT0005239881,UNIR.MI,Consumer Cyclical,EUR,9.85,0.49,4.91,0.049099997,2,5,4,80.0,2017-09-25,2023-06-26,0.49,9.930000305175781
Gpi,IT0005221517,GPI.MI,Healthcare,EUR,10.08,0.5,4.81,0.0481,2,5,4,80.0,2017-05-08,2023-05-15,0.5,11.479999542236328
Technogym,IT0005162406,TGYM.MI,Consumer Cyclical,EUR,7.83,0.25,3.14,0.031400003,2,5,4,80.0,2017-05-15,2023-05-22,0.25,8.420000076293945
Maire Tecnimont,IT0004931058,MAIRE.MI,Industrials,EUR,3.552,0.12,3.49,0.0349,6,14,11,78.57142857142857,2008-05-19,2023-04-24,0.124,3.757999897003174
Brunello Cucinelli,IT0004764699,BC.MI,Consumer Cyclical,EUR,70.95,0.65,0.92,0.0092,6,9,7,77.77777777777779,2013-05-20,2023-05-22,0.65,81.3499984741211
Alerion,IT0004720733,ARN.MI,Utilities,EUR,28.0,0.65,2.44,0.024400001,12,17,13,76.47058823529412,2005-05-16,2023-05-08,0.65,28.55000114440918
Mfe B,NL0015000N09,MFEB.MI,Communication Services,EUR,0.6675,0.05,7.44,0.0744,15,25,19,76.0,1997-05-19,2023-07-24,0.05,0.6614999771118164
Dovalue,IT0001044996,DOV.MI,Financial Services,EUR,4.395,0.6,13.3,0.133,1,4,3,75.0,2018-05-21,2023-05-08,0.6,5.7699995040893555
Bff Bank,IT0005244402,BFF.MI,Financial Services,EUR,9.7,0.86,8.83,0.0883,1,4,3,75.0,2018-04-09,2023-08-11,0.567,9.53800106048584
Gefran,IT0003203947,GE.MI,Technology,EUR,8.64,0.4,4.6,0.046,10,23,17,73.91304347826086,1999-05-10,2023-05-08,0.4,9.620000839233398
Webuild,IT0003865570,WBD.MI,Industrials,EUR,1.657,0.06,3.38,0.033800002,7,22,16,72.72727272727273,2000-05-22,2023-05-22,0.057,1.9259999990463257
Biesse,IT0003097257,BSS.MI,Industrials,EUR,12.4,0.33,2.65,0.026500002,6,20,13,65.0,2002-07-15,2023-05-08,0.33,13.40999984741211
Digital Bros,IT0001469995,DIB.MI,Communication Services,EUR,16.31,0.18,1.15,0.0115,3,17,11,64.70588235294117,2005-12-12,2022-12-05,0.18,23.34000015258789
Leonardo,IT0003856405,LDO.MI,Industrials,EUR,13.17,0.14,1.07,0.0107,6,17,11,64.70588235294117,2005-07-18,2023-05-22,0.14,11.094999313354492
Banco Bpm,IT0005218380,BAMI.MI,Financial Services,EUR,4.341,0.23,5.3,0.053000003,5,19,12,63.1578947368421,2003-05-19,2023-04-24,0.23,4.005000114440918
Txt E-Solutions,IT0001454435,TXT.MI,Technology,EUR,18.24,0.18,0.98,0.0098,8,16,10,62.5,2006-05-08,2023-05-22,0.18,19.059999465942383
Mondadori Edit,IT0001469383,MN.MI,Communication Services,EUR,2.07,0.11,5.16,0.051599998,13,27,16,59.25925925925925,1995-05-18,2023-05-22,0.11,1.8659999370574951
Basicnet,IT0001033700,BAN.MI,Consumer Cyclical,EUR,4.88,0.18,3.7,0.037,7,22,13,59.09090909090909,2000-07-10,2023-04-24,0.18,5.640000343322754
Elica,IT0003404214,ELC.MI,Consumer Cyclical,EUR,2.62,0.07,2.7,0.027,3,15,8,53.333333333333336,2007-05-14,2023-07-03,0.07,2.6700000762939453
Gas Plus,IT0004098510,GSP.MI,Energy,EUR,2.63,0.05,1.93,0.019299999,3,15,8,53.333333333333336,2007-05-21,2023-07-31,0.05,2.6100001335144043
Immsi,IT0001413837,IMS.MI,Consumer Cyclical,EUR,0.475,0.04,8.08,0.0808,5,19,10,52.63157894736842,2003-05-12,2023-05-22,0.039,0.5300000309944153
Ratti,IT0004724107,RAT.MI,Consumer Cyclical,EUR,2.88,0.1,3.47,0.0347,9,27,14,51.85185185185185,1995-05-18,2023-05-22,0.1,2.799999952316284
Stellantis,NL00150001Q9,STLAM.MI,Consumer Cyclical,EUR,16.74,1.34,8.02,0.0802,3,22,11,50.0,2000-06-19,2023-04-24,1.34,14.604000091552734
Aquafil,IT0005241192,ECNL.MI,Consumer Cyclical,EUR,3.27,0.24,7.41,0.074099995,1,4,2,50.0,2018-05-07,2023-05-08,0.24,4.675000190734863
Greenthesis,IT0001042297,GTH.MI,Industrials,EUR,0.89,0.02,2.09,0.0209,3,23,11,47.82608695652174,1999-06-07,2023-06-05,0.01885,0.9211499691009521
